89,33,106,30,108,41,91,44
137,27,236,32,235,47,136,42
372,25,418,25,418,37,372,37
417,24,470,24,470,38,417,38
;90,46,108,46,108,60,90,60
108,48,134,48,134,60,108,60
134,46,157,46,157,61,134,61
154,50,181,50,181,62,154,62
180,47,233,49,233,63,179,61
232,50,276,50,276,64,232,64
329,45,352,45,352,58,329,58
353,44,398,41,399,54,354,57
401,41,417,41,417,53,401,53
421,44,446,44,446,54,421,54
450,40,518,40,518,53,450,53
;52,61,80,61,80,72,52,72
80,61,89,61,89,69,80,69
89,61,108,61,108,73,89,73
108,61,134,61,134,74,108,74
141,62,161,62,161,74,141,74
161,62,235,64,234,80,160,78
329,60,373,60,373,69,329,69
372,56,384,56,384,69,372,69
385,56,426,56,426,68,385,68
426,54,442,54,442,68,426,68
442,54,484,54,484,68,442,68
492,58,498,58,498,69,492,69
497,54,512,54,512,66,497,66
;50,72,69,72,69,80,50,80
72,72,89,72,89,80,72,80
136,65,142,65,142,74,136,74
237,65,273,65,273,78,237,78
329,72,345,72,345,84,329,84
348,70,374,70,374,82,348,82
378,72,426,72,426,82,378,82
429,73,436,73,436,81,429,81
440,73,454,73,454,81,440,81
461,69,517,69,517,81,461,81
;56,82,72,82,72,90,56,90
73,84,82,84,82,89,73,89
89,77,109,77,109,88,89,88
109,76,132,76,132,89,109,89
133,76,157,76,157,88,133,88
158,80,166,80,166,92,158,92
168,81,174,81,174,89,168,89
177,81,206,81,206,90,177,90
205,77,252,77,252,92,205,92
257,81,278,81,278,92,257,92
374,84,404,84,404,96,374,96
405,84,433,84,433,96,405,96
434,82,473,82,473,96,434,96
470,82,513,82,513,96,470,96
;92,90,125,92,125,103,91,101
125,89,161,89,161,102,125,102
161,90,177,90,177,104,161,104
177,90,224,91,223,105,176,103
221,92,246,92,246,105,221,105
248,92,274,95,273,107,246,105
327,88,375,83,376,96,328,101
329,98,344,98,344,112,329,112
342,98,356,98,356,112,342,112
354,98,393,98,393,112,354,112
393,97,425,97,425,110,393,110
433,97,461,97,461,109,433,109
459,98,516,94,517,108,460,112
;89,105,109,105,109,116,89,116
106,104,125,104,125,116,106,116
125,102,169,105,169,118,124,115
170,104,252,107,251,121,170,118
253,108,273,108,273,120,253,120
426,101,433,101,433,110,426,110
481,110,516,110,516,124,481,124
;88,118,106,118,106,130,88,130
108,117,134,117,134,130,108,130
134,116,175,119,174,133,134,130
177,122,190,122,190,132,177,132
214,121,230,121,230,133,214,133
232,122,277,124,277,136,231,134
328,112,378,110,379,125,329,127
378,112,439,110,440,125,378,127
442,113,466,113,466,126,442,126
474,116,478,116,478,124,474,124
;87,134,139,131,140,143,88,147
154,134,203,132,204,146,154,148
190,124,214,124,214,132,190,132
229,134,261,134,261,148,229,148
329,126,430,124,430,138,329,140
429,124,466,124,466,138,429,138
466,125,482,125,482,137,466,137
484,125,518,125,518,137,484,137
;88,145,116,145,116,158,88,158
140,136,154,136,154,145,140,145
169,146,208,146,208,161,169,161
210,138,230,138,230,149,210,149
262,140,277,140,277,149,262,149
328,141,346,141,346,153,328,153
346,140,383,142,382,157,345,154
382,140,448,140,448,152,382,152
490,142,498,142,498,149,490,149
497,142,506,142,506,149,497,149
;115,149,141,146,142,160,117,163
145,149,166,149,166,161,145,161
212,149,248,149,248,161,212,161
248,156,254,156,254,162,248,162
257,154,265,154,265,164,257,164
344,154,385,154,385,169,344,169
386,153,418,153,418,166,386,166
421,153,448,153,448,166,421,166
448,153,469,153,469,166,448,166
474,153,492,153,492,165,474,165
496,157,518,157,518,168,496,168
;88,160,132,160,132,174,88,174
137,164,158,164,158,173,137,173
165,162,182,162,182,173,165,173
186,162,210,162,210,174,186,174
208,166,257,163,257,175,209,179
261,164,277,164,277,176,261,176
326,170,349,170,349,184,326,184
454,168,469,168,469,180,454,180
472,167,517,168,517,181,471,179
;88,172,156,175,155,189,87,186
158,176,173,176,173,188,158,188
174,177,214,177,214,189,174,189
216,174,278,180,276,195,214,189
