96,21,112,21,112,32,96,32
142,20,189,20,189,33,142,33
188,20,240,23,239,36,187,34
414,30,466,30,466,44,414,44
501,30,514,30,514,41,501,41
;94,39,132,41,131,51,94,50
132,41,154,41,154,50,132,50
154,37,217,37,217,52,154,52
216,42,237,42,237,56,216,56
237,41,281,41,281,53,237,53
369,32,414,32,414,45,369,45
;94,50,106,50,106,64,94,64
106,52,120,52,120,64,106,64
120,49,161,55,159,71,118,65
157,54,181,54,181,68,157,68
181,53,193,53,193,66,181,66
193,53,229,53,229,66,193,66
230,54,284,54,284,68,230,68
328,54,349,54,349,64,328,64
349,50,365,50,365,62,349,62
364,48,392,51,391,65,362,62
393,46,428,46,428,61,393,61
427,49,477,47,477,62,428,64
480,45,492,45,492,57,480,57
493,44,516,44,516,57,493,57
;114,67,169,66,169,79,114,81
213,67,282,69,282,83,213,81
326,65,377,65,377,78,326,78
376,62,430,60,431,74,377,76
430,62,469,60,469,73,430,74
469,57,513,57,513,72,469,72
;96,69,113,69,113,78,96,78
182,68,212,68,212,80,182,80
373,77,437,73,438,90,374,94
438,78,458,78,458,88,438,88
458,73,482,73,482,88,458,88
481,73,494,73,494,85,481,85
494,72,514,72,514,85,494,85
;94,80,110,80,110,92,94,92
110,84,126,84,126,93,110,93
125,81,164,78,166,93,126,96
166,82,206,82,206,93,166,93
206,85,221,85,221,94,206,94
224,82,266,82,266,96,224,96
325,80,374,77,375,90,326,93
414,89,430,89,430,102,414,102
434,89,452,89,452,101,434,101
457,90,486,88,487,99,458,102
488,88,514,88,514,102,488,102
;94,93,138,93,138,109,94,109
137,94,152,94,152,106,137,106
153,95,205,97,205,109,152,107
341,97,408,91,410,104,343,111
457,101,514,101,514,114,457,114
;109,110,118,110,118,121,109,121
120,108,161,108,161,121,120,121
162,106,240,111,239,126,161,121
241,108,278,114,276,130,238,123
329,110,353,110,353,120,329,120
354,107,439,100,440,116,356,123
444,104,454,104,454,116,444,116
480,114,512,114,512,128,480,128
;93,124,118,124,118,137,93,137
118,122,172,122,172,137,118,137
173,124,206,124,206,136,173,136
208,128,220,128,220,138,208,138
220,122,265,124,265,138,219,136
268,125,284,125,284,138,268,138
328,121,340,121,340,134,328,134
337,123,364,118,366,132,339,137
363,120,399,117,400,131,364,134
401,121,409,121,409,132,401,132
408,121,460,115,462,130,409,136
464,120,480,120,480,129,464,129
465,130,476,130,476,142,465,142
;94,138,120,138,120,152,94,152
120,136,165,138,165,150,119,149
165,138,197,138,197,150,165,150
200,140,238,140,238,150,200,150
238,140,284,140,284,153,238,153
329,138,356,138,356,149,329,149
353,134,377,134,377,146,353,146
377,138,385,138,385,146,377,146
385,136,408,136,408,145,385,145
408,136,424,136,424,145,408,145
422,134,457,129,460,143,424,148
478,133,503,131,504,143,478,144
486,142,516,142,516,156,486,156
504,132,517,132,517,141,504,141
;101,149,133,149,133,162,101,162
132,152,186,152,186,164,132,164
189,154,216,154,216,168,189,168
218,154,241,154,241,166,218,166
257,153,282,153,282,169,257,169
328,149,376,149,376,162,328,162
381,150,405,148,406,161,382,163
405,149,433,149,433,160,405,160
434,146,440,146,440,156,434,156
441,144,472,144,472,157,441,157
470,144,488,144,488,156,470,156
;94,163,155,168,154,180,93,175
198,166,249,166,249,180,198,180
242,157,256,157,256,165,242,165
329,164,366,164,366,180,329,180
365,164,409,164,409,189,365,189
412,164,421,164,421,173,412,173
422,164,452,164,452,173,422,173
456,161,478,161,478,174,456,174
477,157,500,157,500,170,477,170
500,157,513,157,513,169,500,169
;93,177,114,177,114,190,93,190
113,178,141,178,141,192,113,192
156,169,198,169,198,180,156,180
249,170,256,170,256,180,249,180
257,170,278,170,278,180,257,180
329,178,352,178,352,190,329,190
400,177,442,175,443,186,401,188
446,177,461,177,461,185,446,185
465,176,478,176,478,185,465,185
481,174,510,174,510,185,481,185
510,172,517,172,517,184,510,184
;142,181,195,184,194,196,142,193
202,184,216,184,216,193,202,193
216,181,233,181,233,193,216,193
232,181,261,181,261,193,232,193
265,185,282,185,282,194,265,194
360,180,373,180,373,189,360,189
385,189,430,189,430,205,385,205
429,186,484,186,484,200,429,200
482,186,518,184,519,197,482,199
;94,196,129,196,129,205,94,205
133,197,140,197,140,205,133,205
142,193,165,193,165,206,142,206
172,192,236,194,235,208,171,206
242,198,282,198,282,208,242,208
330,192,377,194,377,209,330,207
403,202,470,200,470,214,404,216
478,202,501,202,501,214,478,214
505,202,518,202,518,212,505,212
;96,210,129,210,129,220,96,220
132,210,150,210,150,220,132,220
152,206,178,206,178,220,152,220
180,209,249,209,249,221,180,221
257,213,265,213,265,224,257,224
265,210,282,210,282,222,265,222
329,205,342,205,342,217,329,217
342,205,381,205,381,218,342,218
382,208,404,208,404,216,382,216
470,213,504,215,503,229,470,227
;93,222,116,222,116,236,93,236
116,222,132,222,132,233,116,233
132,220,183,223,182,236,131,233
185,225,217,225,217,234,185,234
220,226,245,226,245,237,220,237
246,222,260,222,260,234,246,234
260,225,282,225,282,238,260,238
330,220,378,220,378,233,330,233
378,218,393,218,393,230,378,230
394,217,409,217,409,230,394,230
410,217,446,217,446,229,410,229
444,218,470,216,471,230,445,232
504,217,520,217,520,226,504,226
;94,238,106,238,106,246,94,246
108,234,129,234,129,248,108,248
129,238,160,238,160,248,129,248
164,238,177,238,177,248,164,248
180,236,209,236,209,249,180,249
212,238,258,238,258,249,212,249
261,240,282,240,282,252,261,252
329,235,367,232,368,245,330,247
368,232,420,232,420,248,368,248
472,242,490,242,490,254,472,254
493,241,520,241,520,254,493,254
;94,252,109,252,109,261,94,261
107,250,146,248,147,261,108,264
146,249,158,249,158,262,146,262
160,252,197,252,197,262,160,262
197,249,224,249,224,262,197,262
225,248,253,252,251,266,223,262
254,253,281,253,281,264,254,264
346,246,360,246,360,258,346,258
363,247,423,243,424,257,364,260
426,246,465,241,467,255,428,261
;92,262,133,262,133,276,92,276
133,263,164,265,163,279,132,277
161,265,188,265,188,277,161,277
185,266,212,263,214,276,187,280
210,264,224,264,224,277,210,277
222,264,252,264,252,277,222,277
333,261,361,261,361,273,333,273
364,261,388,261,388,273,364,273
409,257,464,261,463,276,408,271
464,259,507,254,509,267,465,272
510,257,520,257,520,268,510,268
;92,277,128,277,128,289,92,289
128,277,141,277,141,289,128,289
142,277,188,277,188,292,142,292
252,268,280,268,280,278,252,278
334,273,389,273,389,288,334,288
391,276,434,273,435,287,392,289
441,269,520,271,519,285,441,283
;90,290,104,290,104,302,90,302
125,290,142,290,142,304,125,304
189,281,214,281,214,293,189,293
216,280,281,280,281,294,216,294
334,290,361,290,361,301,334,301
358,290,400,286,402,299,360,304
400,288,443,286,444,298,401,300
445,285,461,285,461,298,445,298
463,285,522,280,523,295,464,300
;105,294,125,294,125,304,105,304
142,294,177,294,177,306,142,306
176,292,212,292,212,305,176,305
213,296,228,296,228,305,213,305
229,296,254,296,254,305,229,305
251,296,275,291,278,304,254,309
445,300,474,300,474,313,445,313
474,298,489,298,489,310,474,310
490,298,522,298,522,310,490,310
;92,306,113,306,113,320,92,320
113,305,129,305,129,317,113,317
129,308,152,308,152,320,129,320
150,305,182,305,182,318,150,318
182,304,218,305,217,320,182,318
217,306,281,306,281,320,217,320
336,306,358,306,358,316,336,316
360,305,420,300,421,314,361,319
421,305,428,305,428,316,421,316
429,304,445,304,445,313,429,313
;93,322,106,322,106,332,93,332
108,320,118,320,118,332,108,332
121,322,170,322,170,334,121,334
170,320,186,320,186,332,170,332
186,322,213,320,213,331,186,333
232,324,280,324,280,334,232,334
334,317,362,317,362,330,334,330
364,320,377,320,377,329,364,329
378,316,405,316,405,329,378,329
404,315,459,313,460,326,405,328
457,325,510,325,510,340,457,340
;92,333,108,333,108,345,92,345
108,333,161,333,161,349,108,349
161,333,174,333,174,346,161,346
174,336,197,336,197,349,174,349
197,334,237,334,237,349,197,349
236,335,269,333,269,347,237,349
346,330,374,330,374,344,346,344
381,334,400,334,400,342,381,342
402,332,454,328,455,342,402,345
;92,346,130,346,130,361,92,361
130,349,157,349,157,362,130,362
158,352,170,352,170,361,158,361
169,350,226,346,227,361,170,365
229,349,245,349,245,361,229,361
337,344,373,344,373,357,337,357
377,345,414,345,414,357,377,357
422,344,430,344,430,354,422,354
434,342,452,342,452,354,434,354
457,345,523,340,524,352,458,357
;190,362,252,362,252,377,190,377
247,353,278,350,279,363,248,366
337,358,404,360,403,375,336,374
402,358,417,358,417,370,402,370
416,356,455,355,456,369,417,370
458,355,491,358,489,374,457,370
497,357,505,357,505,366,497,366
503,358,525,356,526,368,504,370
529,362,552,362,552,370,529,370
;92,365,126,365,126,374,92,374
141,364,157,364,157,374,141,374
161,366,186,366,186,377,161,377
338,374,349,374,349,385,338,385
388,373,398,373,398,385,388,385
398,372,414,372,414,384,398,384
413,370,425,370,425,384,413,384
426,369,471,373,470,388,425,384
472,374,478,374,478,384,472,384
480,372,494,372,494,381,480,381
493,368,525,368,525,381,493,381
534,374,556,374,556,380,534,380
;257,385,278,385,278,393,257,393
350,376,386,376,386,385,350,385
;512,389,530,389,530,398,512,398
;
