150,26,194,26,194,40,150,40
194,27,244,30,243,43,193,40
373,30,417,30,417,42,373,42
420,32,470,32,470,42,420,42
;106,46,125,46,125,56,106,56
126,45,160,45,160,57,126,57
160,46,181,46,181,60,160,60
181,45,198,45,198,57,181,57
200,46,258,46,258,58,200,58
261,50,268,50,268,61,261,61
270,50,293,50,293,60,270,60
326,49,342,49,342,62,326,62
341,52,373,49,374,63,342,65
373,48,389,48,389,61,373,61
389,48,418,48,418,60,389,60
417,46,436,46,436,60,417,60
437,46,465,46,465,60,437,60
469,50,490,50,490,60,469,60
494,50,512,50,512,58,494,58
;108,61,125,61,125,70,108,70
126,60,168,60,168,73,126,73
169,58,185,58,185,72,169,72
188,60,222,60,222,72,188,72
224,60,264,62,263,76,223,74
269,64,293,64,293,76,269,76
326,64,373,64,373,77,326,77
372,65,395,63,396,75,373,78
396,64,410,64,410,74,396,74
412,61,458,61,458,73,412,73
461,61,476,61,476,73,461,73
478,61,512,61,512,76,478,76
;105,74,129,72,130,85,106,87
129,76,144,76,144,85,129,85
146,72,186,72,186,85,146,85
188,72,244,75,243,88,187,85
245,74,258,74,258,86,245,86
261,77,289,77,289,88,261,88
330,82,342,82,342,90,330,90
344,77,408,78,407,94,343,92
410,76,450,76,450,88,410,88
457,78,464,78,464,89,457,89
464,74,484,74,484,88,464,88
485,78,498,78,498,88,485,88
498,74,512,74,512,86,498,86
;105,84,145,84,145,98,105,98
150,89,177,89,177,102,150,102
180,90,197,90,197,100,180,100
197,88,225,88,225,100,197,100
226,92,260,92,260,101,226,101
262,90,293,90,293,101,262,101
330,94,370,94,370,105,330,105
370,90,408,90,408,102,370,102
408,90,421,90,421,102,408,102
424,89,461,89,461,101,424,101
464,88,516,88,516,104,464,104
;105,100,121,100,121,113,105,113
121,101,165,101,165,113,121,113
166,104,181,104,181,113,166,113
181,101,204,101,204,114,181,114
205,105,233,105,233,114,205,114
241,104,248,104,248,114,241,114
252,106,272,106,272,116,252,116
274,106,289,106,289,116,274,116
330,108,395,104,396,117,330,121
396,105,450,101,451,115,397,120
450,102,466,102,466,116,450,116
468,104,515,106,514,117,467,114
533,100,554,100,554,108,533,108
;106,114,158,114,158,128,106,128
160,114,182,114,182,128,160,128
184,120,206,118,207,128,185,130
206,116,238,116,238,129,206,129
238,116,252,116,252,129,238,129
254,117,289,117,289,132,254,132
341,122,353,122,353,132,341,132
355,121,411,118,412,130,356,133
410,118,424,118,424,130,410,130
422,120,458,115,459,129,424,134
458,117,478,117,478,129,458,129
481,116,516,116,516,132,481,132
;106,130,125,130,125,142,106,142
129,133,148,133,148,141,129,141
150,133,198,133,198,142,150,142
202,133,224,133,224,142,202,142
224,130,237,130,237,142,224,142
238,134,278,134,278,144,238,144
332,137,345,137,345,146,332,146
344,132,380,134,379,146,343,145
380,133,398,133,398,145,380,145
399,133,474,133,474,144,399,144
481,134,488,134,488,145,481,145
492,132,514,132,514,142,492,142
;106,144,145,144,145,154,106,154
149,142,200,142,200,156,149,156
204,148,217,148,217,156,204,156
222,148,261,148,261,157,222,157
264,147,293,148,293,158,263,157
332,148,352,148,352,160,332,160
352,146,422,146,422,160,352,160
