92,26,108,26,108,38,92,38
141,26,186,26,186,40,141,40
186,26,238,26,238,40,186,40
369,29,413,29,413,41,369,41
417,30,469,32,469,42,417,40
500,33,513,33,513,44,500,44
;89,42,113,42,113,57,89,57
113,45,141,45,141,57,113,57
141,44,184,44,184,57,141,57
182,44,197,44,197,57,182,57
194,46,217,46,217,60,194,60
216,44,244,46,243,59,215,57
245,48,252,48,252,57,245,57
253,44,282,46,281,59,252,57
322,46,372,46,372,60,322,60
370,50,401,49,401,58,370,60
401,49,449,49,449,61,401,61
448,46,466,46,466,58,448,58
466,48,486,48,486,61,466,61
488,49,510,49,510,58,488,58
;93,60,120,60,120,70,93,70
120,58,134,58,134,70,120,70
136,58,174,58,174,72,136,72
176,57,202,57,202,70,176,70
208,62,228,62,228,72,208,72
229,58,252,58,252,72,229,72
252,61,277,61,277,74,252,74
334,61,376,61,376,74,334,74
374,60,408,60,408,73,374,73
408,60,490,60,490,76,408,76
;92,73,125,73,125,88,92,88
126,77,133,77,133,86,126,86
132,72,153,72,153,85,132,85
152,72,165,72,165,85,152,85
165,72,214,72,214,85,165,85
217,72,254,72,254,85,217,85
261,73,277,73,277,86,261,86
338,74,381,74,381,88,338,88
381,76,406,76,406,89,381,89
406,74,433,74,433,86,406,86
433,73,476,77,475,90,432,87
477,74,493,74,493,86,477,86
494,77,508,77,508,86,494,86
;93,90,129,90,129,100,93,100
130,87,180,90,179,101,130,98
180,90,188,90,188,101,180,101
189,86,250,86,250,100,189,100
252,85,282,90,280,105,249,99
324,90,344,90,344,102,324,102
345,90,361,90,361,102,345,102
364,86,425,90,424,106,363,102
443,89,511,89,511,101,443,101
;93,102,105,102,105,113,93,113
107,104,154,101,155,113,108,116
161,104,184,104,184,116,161,116
188,104,197,104,197,113,188,113
197,101,229,101,229,113,197,113
231,103,281,100,282,114,232,117
326,108,364,108,364,118,326,118
365,106,378,106,378,116,365,116
377,104,396,104,396,116,377,116
395,103,443,99,444,115,396,119
445,106,450,106,450,114,445,114
452,106,473,106,473,116,452,116
474,105,481,105,481,114,474,114
480,104,507,101,509,115,481,118
;92,114,108,114,108,128,92,128
109,118,133,116,134,129,110,131
137,118,150,118,150,126,137,126
153,118,185,118,185,128,153,128
186,114,202,114,202,128,186,128
201,117,242,114,243,128,202,131
248,114,262,114,262,128,248,128
266,116,281,116,281,128,266,128
322,119,360,114,362,128,324,134
361,117,414,117,414,132,361,132
426,117,483,117,483,129,426,129
490,120,512,120,512,132,490,132
;92,132,110,132,110,141,92,141
112,129,125,129,125,141,112,141
124,129,140,129,140,141,124,141
145,130,153,130,153,140,145,140
152,129,201,129,201,141,152,141
208,132,259,130,260,141,209,144
260,132,281,132,281,145,260,145
326,136,337,136,337,144,326,144
338,132,352,132,352,144,338,144
356,134,392,134,392,145,356,145
394,130,445,130,445,146,394,146
452,134,477,134,477,145,452,145
478,131,512,133,511,147,478,145
;92,142,140,142,140,156,92,156
141,142,153,142,153,156,141,156
153,142,184,142,184,156,153,156
186,145,193,145,193,156,186,156
193,143,229,144,229,157,193,155
230,148,254,148,254,158,230,158
256,146,276,146,276,156,256,156
325,145,345,145,345,158,325,158
346,146,376,146,376,158,346,158
376,149,417,147,417,157,377,159
417,148,425,148,425,157,417,157
424,145,436,145,436,157,424,157
436,144,468,144,468,157,436,157
469,146,512,146,512,157,469,157
513,144,537,144,537,157,513,157
538,148,550,148,550,156,538,156
;94,158,138,158,138,170,94,170
142,161,156,161,156,169,142,169
158,160,204,160,204,169,158,169
204,157,230,157,230,170,204,170
230,160,253,160,253,172,230,172
253,157,277,157,277,170,253,170
332,160,380,160,380,174,332,174
381,162,394,162,394,172,381,172
397,158,424,158,424,172,397,172
422,160,465,160,465,172,422,172
472,161,508,161,508,172,472,172
;92,170,125,170,125,184,92,184
124,170,140,170,140,184,124,184
140,170,168,170,168,184,140,184
169,174,186,174,186,184,169,184
188,172,202,172,202,184,188,184
202,169,243,171,242,185,202,183
244,172,260,172,260,184,244,184
260,176,281,176,281,185,260,185
325,174,341,174,341,186,325,186
340,177,362,175,363,187,341,190
364,173,400,173,400,186,364,186
400,173,434,173,434,186,400,186
438,174,449,174,449,186,438,186
450,173,513,173,513,186,450,186
;93,184,137,188,136,202,92,199
140,189,153,189,153,197,140,197
157,189,188,189,188,200,157,200
189,186,205,186,205,197,189,197
208,189,264,189,264,198,208,198
264,189,281,189,281,198,264,198
324,188,362,188,362,204,324,204
364,189,378,189,378,200,364,200
381,188,438,188,438,200,381,200
440,189,485,189,485,200,440,200
485,190,510,190,510,200,485,200
;94,202,130,202,130,216,94,216
333,204,349,204,349,214,333,214
349,201,362,201,362,214,349,214
361,202,410,202,410,216,361,216
412,205,425,205,425,214,412,214
426,203,472,198,474,213,428,218
473,205,480,205,480,214,473,214
478,204,501,202,502,214,480,216
500,201,513,201,513,213,500,213
;106,213,125,213,125,226,106,226
125,213,142,213,142,226,125,226
142,213,172,213,172,226,142,226
177,217,222,217,222,226,177,226
225,214,232,214,232,226,225,226
230,213,277,213,277,226,230,226
325,218,347,216,349,229,327,231
350,215,391,218,390,231,349,228
393,216,406,216,406,228,393,228
408,216,438,216,438,228,408,228
444,218,473,218,473,228,444,228
470,216,490,216,490,230,470,230
498,220,513,220,513,228,498,228
;93,228,116,228,116,241,93,241
116,228,134,228,134,240,116,240
136,229,168,229,168,240,136,240
172,229,221,229,221,240,172,240
229,230,236,230,236,240,229,240
236,228,277,226,277,240,237,242
326,233,346,233,346,242,326,242
346,230,381,232,381,244,346,242
386,233,418,233,418,242,386,242
421,233,442,233,442,242,421,242
444,229,477,229,477,242,444,242
480,229,492,229,492,241,480,241
493,229,510,229,510,242,493,242
;93,242,118,242,118,254,93,254
126,241,161,241,161,254,126,254
164,245,184,245,184,253,164,253
184,243,239,240,240,254,185,257
239,245,272,239,274,253,241,259
325,242,345,242,345,256,325,256
346,248,366,248,366,257,346,257
368,248,393,248,393,257,368,257
401,246,414,246,414,256,401,256
414,244,477,244,477,256,414,256
478,242,513,242,513,256,478,256
;93,256,136,256,136,269,93,269
138,255,183,258,182,272,137,268
185,258,208,258,208,272,185,272
210,258,239,260,238,270,210,268
242,257,277,257,277,268,242,268
326,261,338,261,338,270,326,270
341,257,357,257,357,270,341,270
361,260,385,262,385,272,360,270
388,260,430,260,430,273,388,273
432,258,450,258,450,269,432,269
454,261,469,261,469,270,454,270
472,260,513,260,513,270,472,270
;94,274,112,274,112,284,94,284
118,274,125,274,125,285,118,285
