90,30,105,30,105,40,90,40
138,28,184,28,184,41,138,41
184,28,236,31,235,44,183,42
372,29,417,29,417,42,372,42
417,28,469,31,469,44,416,42
;90,47,120,49,119,59,90,57
121,48,169,48,169,58,121,58
176,49,198,49,198,61,176,61
200,50,212,50,212,60,200,60
210,48,224,48,224,60,210,60
224,49,266,49,266,62,224,62
324,48,373,45,373,61,325,63
373,46,389,46,389,58,373,58
389,45,406,45,406,58,389,58
409,45,442,45,442,58,409,58
446,49,461,49,461,58,446,58
462,48,482,48,482,58,462,58
489,49,497,49,497,60,489,60
496,46,512,46,512,58,496,58
;92,61,150,61,150,73,92,73
153,60,168,60,168,73,153,73
168,60,185,60,185,73,168,73
186,60,228,60,228,73,186,73
232,64,278,62,279,75,233,77
327,65,370,62,371,73,328,76
372,62,422,62,422,73,372,73
422,62,444,62,444,76,422,76
445,61,484,61,484,72,445,72
485,62,512,62,512,72,485,72
;90,73,106,73,106,86,90,86
108,76,152,76,152,100,108,100
151,76,195,73,196,87,152,91
196,78,204,78,204,89,196,89
202,74,225,74,225,88,202,88
226,76,254,76,254,88,226,88
254,76,276,76,276,89,254,89
326,80,338,80,338,88,326,88
348,80,356,80,356,90,348,90
357,73,406,73,406,89,357,89
408,74,425,74,425,86,408,86
428,74,464,74,464,86,428,86
466,76,473,76,473,85,466,85
478,73,513,75,513,86,478,85
;88,90,130,86,131,99,89,103
146,89,184,89,184,101,146,101
185,93,221,93,221,102,185,102
228,92,249,92,249,105,228,105
252,93,264,93,264,102,252,102
326,92,348,92,348,104,326,104
348,89,381,89,381,105,348,105
382,92,389,92,389,101,382,101
394,90,417,90,417,101,394,101
418,92,438,92,438,101,418,101
438,88,476,88,476,101,438,101
476,88,493,88,493,100,476,100
494,86,513,86,513,98,494,98
516,96,540,96,540,104,516,104
537,94,552,94,552,104,537,104
;89,100,133,100,133,114,89,114
145,102,164,102,164,114,145,114
164,104,198,104,198,116,164,116
204,101,238,105,236,122,202,118
238,104,277,104,277,116,238,116
328,106,362,106,362,116,328,116
365,106,378,106,378,116,365,116
377,103,424,99,426,114,378,118
425,102,446,102,446,114,425,114
445,101,494,101,494,117,445,117
496,105,512,105,512,116,496,116
529,105,545,105,545,114,529,114
;50,118,68,118,68,128,50,128
69,118,85,118,85,129,69,129
88,114,126,117,125,131,87,127
128,115,177,117,177,130,127,129
178,120,198,120,198,129,178,129
196,115,221,117,219,131,195,129
221,121,234,121,234,130,221,130
236,121,257,121,257,130,236,130
260,121,277,121,277,130,260,130
341,121,376,121,376,129,341,129
378,120,393,120,393,129,378,129
393,116,405,116,405,129,393,129
405,116,420,116,420,129,405,129
422,116,434,116,434,129,422,129
436,116,472,120,471,132,434,128
472,116,484,116,484,128,472,128
482,116,498,116,498,128,482,128
498,116,514,116,514,128,498,128
541,116,553,116,553,124,541,124
;50,129,77,129,77,140,50,140
86,129,106,129,106,142,86,142
112,128,169,130,169,144,111,142
168,132,200,132,200,144,168,144
201,132,217,132,217,144,201,144
220,133,277,135,277,146,219,144
325,132,358,128,359,143,327,147
360,132,406,129,407,143,361,147
408,133,428,133,428,146,408,146
432,130,444,130,444,142,432,142
446,130,462,130,462,142,446,142
462,129,476,129,476,142,462,142
475,131,514,128,515,141,476,143
;88,142,120,144,119,158,87,155
124,146,161,146,161,157,124,157
162,149,182,149,182,161,162,161
185,146,197,146,197,158,185,158
