89,28,105,28,105,36,89,36
138,23,183,25,182,37,138,34
182,24,233,26,233,36,182,35
370,22,416,22,416,36,370,36
416,22,460,22,460,36,416,36
461,25,469,25,469,33,461,33
;86,40,109,40,109,53,86,53
109,41,124,41,124,53,109,53
125,44,149,41,150,54,126,56
150,41,165,41,165,53,150,53
168,41,245,38,245,53,169,56
249,41,278,41,278,53,249,53
329,44,353,44,353,53,329,53
352,42,419,37,421,53,353,59
420,38,476,38,476,52,420,52
477,42,502,42,502,54,477,54
501,38,517,38,517,52,501,52
;88,60,110,56,112,68,89,71
109,54,132,54,132,68,109,68
134,58,174,56,175,66,134,68
177,53,209,55,209,68,176,66
209,56,240,56,240,68,209,68
241,54,258,54,258,68,241,68
261,56,277,56,277,68,261,68
328,57,360,57,360,70,328,70
361,54,377,54,377,66,361,66
377,53,424,53,424,68,377,68
431,54,489,54,489,65,431,65
492,56,516,56,516,65,492,65
;92,69,122,69,122,81,92,81
124,68,142,68,142,81,124,81
144,69,188,69,188,81,144,81
186,69,200,69,200,81,186,81
200,69,249,69,249,84,200,84
252,68,277,68,277,81,252,81
329,72,349,72,349,84,329,84
352,68,370,68,370,81,352,81
369,70,428,64,430,79,371,85
434,70,449,70,449,80,434,80
452,66,504,66,504,82,452,82
504,72,510,72,510,81,504,81
;53,80,76,80,76,86,53,86
78,78,86,78,86,86,78,86
89,84,105,84,105,96,89,96
108,81,149,83,149,96,107,94
154,82,192,82,192,96,154,96
192,82,210,82,210,94,192,94
212,84,241,84,241,96,212,96
244,82,260,82,260,96,244,96
261,82,278,82,278,96,261,96
329,82,374,82,374,98,329,98
377,85,398,85,398,94,377,94
398,81,412,81,412,94,398,94
410,82,446,82,446,94,410,94
446,81,462,81,462,93,446,93
464,84,477,84,477,93,464,93
476,80,500,80,500,93,476,93
;90,99,115,101,114,111,90,109
120,100,142,100,142,112,120,112
146,98,190,98,190,109,146,109
194,98,217,98,217,109,194,109
218,97,254,97,254,109,218,109
257,100,277,100,277,109,257,109
330,97,337,97,337,109,330,109
336,97,356,97,356,109,336,109
357,98,365,98,365,110,357,110
365,96,378,96,378,109,365,109
376,97,435,94,436,108,377,112
437,98,452,98,452,108,437,108
452,96,498,96,498,110,452,110
502,100,517,100,517,106,502,106
;89,112,112,112,112,124,89,124
113,113,149,113,149,124,113,124
150,110,198,110,198,124,150,124
202,110,222,110,222,124,202,124
222,114,244,114,244,124,222,124
245,110,260,110,260,124,245,124
260,110,278,110,278,124,260,124
328,111,370,109,371,122,329,124
372,109,401,109,401,122,372,122
401,109,429,109,429,122,401,122
429,112,454,112,454,124,429,124
453,110,516,106,517,121,454,125
;90,126,152,126,152,138,90,138
157,125,173,125,173,137,157,137
177,125,208,125,208,138,177,138
213,125,229,125,229,137,213,137
232,125,278,125,278,138,232,138
328,124,365,122,365,135,329,137
365,124,384,124,384,137,365,137
382,124,412,124,412,137,382,137
413,126,421,126,421,137,413,137
421,124,472,124,472,137,421,137
470,125,518,120,520,136,472,141
;89,142,149,142,149,154,89,154
148,142,173,142,173,153,148,153
173,141,218,141,218,152,173,152
221,140,237,140,237,152,221,152
240,138,278,138,278,152,240,152
329,138,345,138,345,152,329,152
