88,32,102,32,102,44,88,44
136,30,181,30,181,44,136,44
182,32,232,32,232,45,182,45
372,37,470,39,470,53,371,51
;90,48,105,48,105,61,90,61
105,48,130,48,130,61,105,61
128,50,185,47,185,60,129,64
188,49,212,49,212,61,188,61
217,52,238,52,238,61,217,61
500,42,514,42,514,53,500,53
;89,61,142,63,142,76,89,74
160,62,172,62,172,76,160,76
173,63,233,65,233,78,172,76
232,62,280,64,279,78,231,75
242,53,265,53,265,62,242,62
338,57,350,57,350,69,338,69
349,56,368,56,368,69,349,69
369,56,430,56,430,72,369,72
432,60,438,60,438,69,432,69
440,56,497,56,497,72,440,72
497,56,513,56,513,69,497,69
;103,73,152,78,151,94,101,89
144,64,158,64,158,76,144,76
324,70,342,70,342,84,324,84
344,72,404,72,404,84,344,84
404,70,420,70,420,82,404,82
420,72,465,72,465,82,420,82
466,69,510,69,510,82,466,82
;90,76,104,76,104,89,90,89
153,80,174,80,174,89,153,89
173,77,185,77,185,89,173,89
186,75,220,78,219,92,185,89
228,80,249,80,249,93,228,93
252,80,278,80,278,90,252,90
325,85,346,85,346,97,325,97
348,85,373,85,373,97,348,97
372,85,385,85,385,97,372,97
385,84,428,84,428,97,385,97
464,84,481,84,481,97,464,97
;90,89,116,89,116,102,90,102
116,94,141,94,141,105,116,105
142,91,187,89,188,103,142,105
186,90,204,90,204,104,186,104
204,90,241,90,241,104,204,104
261,96,280,96,280,104,261,104
428,86,450,86,450,98,428,98
484,86,500,86,500,96,484,96
500,88,509,88,509,96,500,96
;90,106,122,106,122,120,90,120
121,104,137,104,137,117,121,117
137,105,152,105,152,117,137,117
152,105,169,105,169,117,152,117
169,105,212,105,212,117,169,117
257,108,280,108,280,120,257,120
326,102,348,102,348,112,326,112
348,101,382,101,382,114,348,114
400,98,466,98,466,110,400,110
468,100,485,100,485,110,468,110
485,98,513,98,513,110,485,110
;212,109,256,109,256,118,212,118
325,113,341,113,341,126,325,126
340,116,376,111,378,125,341,130
377,112,424,112,424,125,377,125
428,117,449,117,449,125,428,125
450,117,464,117,464,125,450,125
465,113,512,109,514,124,466,128
;90,121,126,121,126,133,90,133
129,122,144,122,144,132,129,132
144,120,157,120,157,132,144,132
168,121,177,121,177,132,168,132
181,122,212,122,212,132,181,132
217,120,232,120,232,132,217,132
233,120,264,120,264,132,233,132
264,120,281,120,281,132,264,132
348,129,388,129,388,140,348,140
403,123,474,128,472,144,402,139
476,130,497,130,497,141,476,141
497,126,513,126,513,138,497,138
;90,131,152,136,151,150,89,146
157,133,177,133,177,146,157,146
176,133,192,133,192,145,176,145
192,133,209,133,209,146,192,146
209,136,232,136,232,148,209,148
233,137,276,137,276,146,233,146
326,132,346,132,346,142,326,142
368,141,394,141,394,153,368,153
393,141,433,141,433,153,393,153
449,140,493,142,493,156,448,154
;92,150,149,150,149,160,92,160
149,146,164,146,164,160,149,160
164,146,181,146,181,160,164,160
184,152,205,152,205,160,184,160
209,152,242,152,242,160,209,160
248,152,280,152,280,161,248,161
325,143,367,139,368,153,326,156
489,153,513,153,513,166,489,166
496,144,514,144,514,152,496,152
;90,160,118,160,118,173,90,173
125,164,146,164,146,176,125,176
146,161,169,161,169,173,146,173
