93,29,108,29,108,37,93,37
138,24,184,26,183,40,138,38
184,25,236,30,235,44,183,39
376,32,420,32,420,45,376,45
421,30,469,32,469,45,420,44
504,33,517,33,517,42,504,42
;92,42,135,44,134,58,91,56
134,48,150,48,150,56,134,56
153,45,198,41,199,57,154,60
201,44,256,48,255,61,200,57
256,46,278,46,278,61,256,61
374,49,433,47,433,62,374,65
434,46,450,46,450,60,434,60
450,46,488,46,488,60,450,60
494,48,517,48,517,61,494,61
;92,61,137,61,137,70,92,70
146,57,160,57,160,70,146,70
161,58,185,58,185,73,161,73
186,60,198,60,198,72,186,72
201,62,224,62,224,74,201,74
228,60,267,64,266,78,226,74
328,64,385,64,385,77,328,77
330,54,360,54,360,64,330,64
366,54,373,54,373,65,366,65
389,64,405,64,405,76,389,76
409,62,426,62,426,74,409,74
429,64,452,64,452,77,429,77
456,64,476,64,476,73,456,73
478,61,490,61,490,73,478,73
494,64,516,64,516,73,494,73
;90,70,120,71,119,85,90,83
126,76,134,76,134,86,126,86
134,74,142,74,142,85,134,85
145,72,185,72,185,85,145,85
184,72,223,76,222,91,182,87
229,77,262,77,262,89,229,89
262,76,278,76,278,89,262,89
377,78,404,78,404,90,377,90
417,78,440,78,440,92,417,92
441,76,457,76,457,88,441,88
461,74,480,74,480,88,461,88
484,74,516,74,516,88,484,88
;92,89,141,89,141,98,92,98
144,90,165,90,165,100,144,100
168,88,181,88,181,98,168,98
185,87,221,89,221,101,184,99
225,89,277,89,277,105,225,105
327,81,372,77,374,92,328,97
377,90,444,90,444,104,377,104
453,90,493,90,493,102,453,102
;88,100,105,100,105,112,88,112
128,100,177,100,177,113,128,113
178,99,252,103,251,131,177,126
329,96,348,96,348,105,329,105
349,94,377,94,377,105,349,105
445,94,452,94,452,104,445,104
490,102,516,102,516,116,490,116
494,92,513,92,513,101,494,101
;88,114,105,114,105,126,88,126
105,113,172,115,171,129,105,127
106,104,128,104,128,113,106,113
173,114,219,116,218,129,172,127
261,104,277,104,277,117,261,117
326,106,345,106,345,118,326,118
346,106,410,106,410,118,346,118
413,104,440,104,440,117,413,117
442,108,462,108,462,116,442,116
468,105,490,105,490,118,468,118
;230,115,276,117,275,131,230,129
329,121,345,121,345,133,329,133
346,124,365,124,365,133,346,133
365,120,398,120,398,132,365,132
397,120,414,120,414,132,397,132
416,118,481,118,481,130,416,130
482,118,516,118,516,129,482,129
;86,129,106,129,106,141,86,141
110,132,130,132,130,141,110,141
133,129,165,129,165,141,133,141
173,133,180,133,180,144,173,144
181,132,196,132,196,142,181,142
196,129,229,131,229,144,195,142
230,132,276,136,275,148,230,144
330,138,349,138,349,146,330,146
357,138,369,138,369,146,357,146
370,137,394,137,394,146,370,146
394,132,428,132,428,145,394,145
430,133,442,133,442,145,430,145
445,132,465,132,465,144,445,144
462,133,504,131,505,158,464,160
;86,142,100,142,100,154,86,154
102,142,144,142,144,156,102,156
145,148,152,148,152,158,145,158
155,145,201,141,202,155,156,159
206,148,226,148,226,157,206,157
230,148,276,148,276,158,230,158
329,149,384,149,384,164,329,164
398,150,420,150,420,160,398,160
425,149,448,149,448,161,425,161
448,146,460,146,460,158,448,158
;86,156,133,156,133,169,86,169
144,155,197,158,197,172,143,169
210,158,276,158,276,188,210,188
330,165,358,165,358,174,330,174
358,162,374,162,374,174,358,174
374,162,406,162,406,174,374,174
410,164,438,161,439,173,412,176
440,160,466,160,466,173,440,173
460,163,517,156,520,181,463,188
;88,168,155,172,154,186,87,182
158,176,173,176,173,184,158,184
177,176,196,176,196,185,177,185
198,173,236,173,236,185,198,185
353,175,395,177,394,193,352,191
397,176,408,176,408,188,397,188
412,175,459,173,460,186,413,188
480,173,492,173,492,186,480,186
494,176,518,176,518,189,494,189
;85,184,126,184,126,197,85,197
132,189,153,189,153,198,132,198
156,185,197,185,197,198,156,198
199,184,224,188,222,202,196,198
240,186,275,188,274,201,239,199
328,189,372,191,371,204,327,202
332,180,352,180,352,189,332,189
397,190,410,190,410,202,397,202
410,189,425,189,425,201,410,201
425,189,441,189,441,201,425,201
440,189,464,189,464,201,440,201
480,188,493,188,493,200,480,200
492,186,518,186,518,202,492,202
;85,198,112,198,112,214,85,214
112,198,140,198,140,212,112,212
137,200,150,200,150,212,137,212
149,200,190,200,190,216,149,216
204,199,257,201,257,215,203,213
370,193,394,190,396,203,372,206
424,202,465,202,465,216,424,216
465,192,478,192,478,201,465,201
470,202,519,204,518,218,470,216
;84,212,97,212,97,225,84,225
144,214,157,214,157,226,144,226
158,213,201,215,201,228,158,226
208,214,248,214,248,228,208,228
258,204,273,204,273,214,258,214
330,206,370,206,370,217,330,217
372,205,404,205,404,220,372,220
405,204,424,204,424,216,405,216
502,214,518,214,518,229,502,229
;97,216,143,211,144,225,98,229
253,220,273,220,273,228,253,228
