98,25,105,25,105,34,98,34
144,24,189,24,189,37,144,37
189,24,240,26,239,42,188,40
366,28,400,28,400,41,366,41
400,30,416,30,416,40,400,40
414,26,465,26,465,40,414,40
;94,40,109,40,109,53,94,53
108,40,124,40,124,53,108,53
124,42,177,42,177,56,124,56
184,45,206,45,206,58,184,58
209,46,217,46,217,56,209,56
218,44,237,44,237,57,218,57
238,49,285,49,285,58,238,58
;97,57,130,57,130,69,97,69
140,56,166,56,166,69,140,69
168,60,190,60,190,72,168,72
194,59,251,63,250,74,194,70
254,62,285,62,285,76,254,76
322,57,382,57,382,78,322,78
383,60,410,58,411,74,384,76
414,54,446,54,446,70,414,70
450,54,466,54,466,69,450,69
472,52,508,52,508,69,472,69
;94,70,120,70,120,96,94,96
120,73,132,73,132,82,120,82
130,69,144,69,144,82,130,82
148,72,182,72,182,84,148,84
184,70,200,70,200,84,184,84
200,74,222,74,222,86,200,86
221,74,249,72,250,87,222,89
252,78,265,78,265,86,252,86
267,75,286,78,284,89,265,86
349,77,399,74,400,90,350,93
426,76,446,76,446,94,426,94
453,73,480,73,480,94,453,94
;94,95,143,96,142,111,94,109
122,88,136,88,136,96,122,96
139,86,182,85,183,98,140,100
194,89,257,89,257,99,194,99
260,92,284,92,284,102,260,102
373,95,461,97,461,117,372,114
;61,97,96,97,96,105,61,105
142,97,157,97,157,110,142,110
156,101,211,98,212,111,157,115
217,100,243,102,242,115,216,113
245,101,284,101,284,114,245,114
;69,108,90,108,90,116,69,116
94,110,122,110,122,124,94,124
128,114,150,114,150,128,128,128
153,117,165,117,165,125,153,125
166,117,181,117,181,125,166,125
185,114,222,114,222,126,185,126
222,117,248,117,248,130,222,130
250,115,284,117,283,134,249,131
;69,126,93,126,93,136,69,136
93,125,108,125,108,137,93,137
106,124,141,125,141,140,106,138
141,126,153,126,153,140,141,140
153,128,177,128,177,141,153,141
178,126,205,128,205,141,177,139
206,129,241,129,241,141,206,141
241,130,252,130,252,142,241,142
253,132,278,132,278,142,253,142
402,128,430,128,430,141,402,141
434,128,450,128,450,141,434,141
453,128,472,128,472,140,453,140
480,132,510,132,510,144,480,144
;94,140,116,140,116,152,94,152
117,144,124,144,124,153,117,153
124,140,142,140,142,153,124,153
145,141,177,141,177,153,145,153
196,142,229,142,229,158,196,158
230,144,242,144,242,156,230,156
244,144,282,144,282,157,244,157
409,142,430,142,430,156,409,156
438,141,511,140,512,154,438,156
;94,153,116,153,116,166,94,166
119,154,163,152,164,168,120,171
181,157,213,157,213,169,181,169
217,156,263,159,262,171,216,169
272,162,284,162,284,172,272,172
412,161,433,161,433,169,412,169
438,156,492,156,492,169,438,169
497,158,512,158,512,168,497,168
;96,172,116,172,116,180,96,180
115,169,165,165,166,181,116,184
166,169,186,169,186,182,166,182
186,170,214,170,214,182,186,182
222,174,244,174,244,184,222,184
248,174,270,174,270,188,248,188
412,174,422,174,422,184,412,184
424,172,466,172,466,184,424,184
466,174,478,174,478,184,466,184
480,173,512,173,512,184,480,184
;96,184,120,184,120,194,96,194
122,182,187,183,186,197,122,195
