89,22,105,22,105,33,89,33
137,21,182,21,182,33,137,33
182,20,232,23,231,36,182,34
368,24,413,24,413,36,368,36
413,22,425,22,425,36,413,36
424,24,469,24,469,37,424,37
;105,38,118,38,118,50,105,50
118,41,140,41,140,54,118,54
141,37,176,39,175,52,140,50
180,42,194,42,194,52,180,52
196,41,237,39,237,52,197,55
242,42,280,42,280,53,242,53
338,41,377,41,377,54,338,54
377,40,421,44,420,57,376,54
421,41,463,39,464,53,422,55
466,41,509,41,509,54,466,54
;89,54,121,54,121,68,89,68
121,53,137,53,137,65,121,65
137,54,172,54,172,68,137,68
172,50,212,52,211,66,171,65
213,53,238,53,238,66,213,66
241,58,254,58,254,66,241,66
258,57,278,57,278,69,258,69
325,58,340,58,340,72,325,72
340,58,354,58,354,69,340,69
354,56,384,56,384,68,354,68
384,58,389,58,389,66,384,66
392,58,410,58,410,68,392,68
413,54,440,54,440,68,413,68
441,56,488,51,490,66,442,71
494,54,513,54,513,66,494,66
;88,66,121,66,121,82,88,82
120,66,180,66,180,82,120,82
188,70,211,68,212,81,189,83
213,72,225,72,225,80,213,80
228,68,240,68,240,80,228,80
245,72,278,72,278,82,245,82
324,73,351,71,352,85,325,87
351,69,409,69,409,82,351,82
413,69,465,69,465,81,413,81
478,69,513,69,513,81,478,81
517,69,530,69,530,78,517,78
533,70,552,70,552,78,533,78
;89,81,130,81,130,96,89,96
132,82,154,82,154,96,132,96
157,80,185,80,185,93,157,93
186,82,226,80,227,95,186,97
229,81,263,85,262,97,228,93
326,88,357,88,357,97,326,97
358,84,389,84,389,97,358,97
389,84,401,84,401,97,389,97
402,84,434,84,434,96,402,96
436,82,469,82,469,96,436,96
469,82,512,84,511,97,468,95
;89,96,105,96,105,108,89,108
104,94,144,94,144,108,104,108
145,94,194,94,194,108,145,108
194,97,220,97,220,110,194,110
221,96,244,96,244,109,221,109
246,96,262,96,262,109,246,109
264,101,278,101,278,109,264,109
326,102,341,102,341,110,326,110
341,98,356,98,356,110,341,110
356,98,388,98,388,112,356,112
390,98,422,98,422,110,390,110
422,98,438,98,438,109,422,109
438,98,488,93,490,109,440,113
489,96,512,96,512,109,489,109
;88,109,134,109,134,122,88,122
138,111,185,112,185,122,138,121
198,109,228,109,228,122,198,122
229,112,278,112,278,126,229,126
325,117,367,113,369,126,327,131
369,116,382,116,382,125,369,125
382,112,400,112,400,125,382,125
400,113,451,111,452,126,401,128
460,114,490,114,490,124,460,124
492,111,515,113,514,124,491,122
;89,124,104,124,104,136,89,136
103,125,148,122,149,137,104,140
149,122,210,122,210,136,149,136
212,124,277,124,277,137,212,137
328,128,369,128,369,140,328,140
368,126,424,128,423,142,367,140
425,129,440,129,440,138,425,138
440,125,476,125,476,138,440,138
476,128,490,128,490,137,476,137
492,126,513,126,513,137,492,137
;89,142,106,142,106,150,89,150
326,145,355,141,357,153,328,158
361,141,384,143,383,153,360,151
384,140,408,140,408,153,384,153
409,144,422,144,422,153,409,153
425,140,440,140,440,152,425,152
444,140,465,140,465,152,444,152
468,141,510,139,511,150,469,152
;104,152,138,152,138,165,104,165
138,152,165,152,165,165,138,165
173,156,206,156,206,165,173,165
206,153,238,153,238,168,206,168
238,152,252,152,252,165,238,165
250,152,278,152,278,165,250,165
326,157,360,157,360,168,326,168
361,152,424,156,423,172,360,168
424,156,446,156,446,170,424,170
449,157,464,157,464,165,449,165
466,156,481,156,481,168,466,168
485,153,512,153,512,165,485,165
;49,174,68,174,68,182,49,182
50,164,89,164,89,173,50,173
88,168,132,168,132,194,88,194
129,166,142,166,142,178,129,178
146,165,173,169,170,183,143,179
184,166,206,166,206,178,184,178
208,169,236,169,236,181,208,181
240,170,261,170,261,180,240,180
261,166,278,166,278,178,261,178
325,168,402,168,402,181,325,181
402,168,456,168,456,181,402,181
464,172,470,172,470,182,464,182
470,168,493,166,494,178,472,180
493,169,512,169,512,180,493,180
;70,176,88,176,88,185,70,185
133,181,193,181,193,196,133,196
196,180,222,180,222,193,196,193
232,184,252,184,252,193,232,193
257,185,278,185,278,194,257,194
324,184,362,184,362,197,324,197
364,185,378,185,378,196,364,196
378,182,392,182,392,194,378,194
393,184,433,184,433,194,393,194
441,185,462,185,462,194,441,194
464,181,492,181,492,194,464,194
492,180,516,180,516,193,492,193
;88,194,148,194,148,209,88,209
146,192,221,195,221,210,146,208
222,198,248,198,248,209,222,209
252,198,277,198,277,208,252,208
325,198,349,198,349,212,325,212
349,197,380,197,380,209,349,209
381,197,418,197,418,213,381,213
421,197,428,197,428,208,421,208
431,199,481,198,481,207,432,209
484,196,516,196,516,212,484,212
;88,212,117,212,117,222,88,222
117,207,172,209,171,223,117,221
173,209,190,209,190,221,173,221
196,210,218,210,218,222,196,222
220,210,241,210,241,221,220,221
245,208,261,208,261,221,245,221
261,209,278,209,278,221,261,221
325,208,363,212,362,226,324,222
362,212,377,212,377,222,362,222
377,210,393,210,393,224,377,224
394,212,430,212,430,224,394,224
432,214,444,214,444,222,432,222
448,212,500,212,500,222,448,222
;88,222,102,222,102,234,88,234
102,222,132,224,131,236,101,234
136,222,185,222,185,237,136,237
192,226,218,226,218,237,192,237
222,226,234,226,234,234,222,234
237,222,277,222,277,237,237,237
326,223,386,225,386,240,326,238
386,225,398,225,398,237,386,237
400,224,436,224,436,237,400,237
437,228,450,228,450,237,437,237
453,228,489,228,489,236,453,236
490,224,513,224,513,238,490,238
;88,238,113,238,113,248,88,248
113,237,128,237,128,249,113,249
127,238,175,234,176,248,128,252
177,237,202,237,202,249,177,249
205,236,218,236,218,249,205,249
221,236,252,236,252,249,221,249
258,241,265,241,265,250,258,250
264,237,278,237,278,249,264,249
328,238,344,238,344,250,328,250
344,238,374,238,374,266,344,266
370,241,388,241,388,265,370,265
390,238,398,238,398,250,390,250
398,240,414,240,414,250,398,250
417,237,440,237,440,250,417,250
441,238,478,238,478,250,441,250
478,237,492,237,492,250,478,250
494,241,506,241,506,250,494,250
504,237,517,237,517,249,504,249
;88,253,140,253,140,262,88,262
141,250,193,252,193,264,141,262
196,253,210,253,210,262,196,262
210,252,256,252,256,266,210,266
257,249,277,249,277,262,257,262
328,254,354,254,354,268,328,268
387,254,433,252,433,266,388,269
433,254,460,254,460,266,433,266
